"Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"Travis Kelce (KC)","103","150","1,336","13.0","43","18","10","0","0","0","1","16","191.6","12.0","49.7%"
"George Kittle (SF)","88","135","1,377","15.6","85","20","5","1","10","0","0","16","170.7","10.7","49.6%"
"Zach Ertz (PHI)","116","156","1,163","10.0","34","13","8","0","0","0","0","16","164.3","10.3","49.7%"
"Eric Ebron (IND)","66","110","750","11.4","53","7","13","3","-8","1","1","16","156.2","9.8","47.0%"
"Jared Cook (NO)","68","101","896","13.2","45","15","6","0","0","0","0","16","125.6","7.9","47.0%"
"Trey Burton (CHI)","54","76","569","10.5","47","7","6","1","2","0","1","16","93.1","5.8","17.8%"
"Austin Hooper (ATL)","71","88","660","9.3","36","7","4","0","0","0","0","16","92.0","5.8","29.2%"
"David Njoku (CLE)","56","88","639","11.4","66","9","4","0","0","0","0","16","87.9","5.5","43.9%"
"Kyle Rudolph (MIN)","64","82","634","9.9","44","6","4","0","0","0","0","16","87.4","5.5","22.7%"
"O.J. Howard (TB)","34","48","565","16.6","75","11","5","0","0","0","0","10","86.5","8.7","47.7%"
"Rob Gronkowski (FA)","47","72","682","14.5","42","8","3","0","0","0","1","13","84.2","6.5","49.4%"
"Vance McDonald (PIT)","50","72","610","12.2","75","6","4","0","0","0","1","15","83.0","5.5","36.5%"
"Evan Engram (NYG)","45","64","577","12.8","54","8","3","3","36","0","0","11","81.3","7.4","48.7%"
"Jimmy Graham (GB)","55","90","636","11.6","54","7","2","0","0","0","0","16","75.6","4.7","20.8%"
"Chris Herndon IV (NYJ)","39","56","502","12.9","32","9","4","0","0","0","0","16","74.2","4.6","9.3%"
"Mark Andrews (BAL)","34","50","552","16.2","74","8","3","0","0","0","0","16","73.2","4.6","3.1%"
"Jordan Reed (WAS)","54","84","558","10.3","34","7","2","0","0","0","1","13","65.8","5.1","11.2%"
"Cameron Brate (TB)","30","49","289","9.6","21","2","6","0","0","0","1","16","62.9","3.9","1.3%"
"C.J. Uzomah (CIN)","43","66","439","10.2","29","6","3","0","0","0","0","16","61.9","3.9","0.7%"
"Dallas Goedert (PHI)","33","42","334","10.1","32","5","4","0","0","0","0","16","57.4","3.6","2.9%"
"Jesse James (DET)","30","39","423","14.1","51","8","2","0","0","0","0","16","54.3","3.4","0.7%"
"Gerald Everett (LAR)","33","50","320","9.7","40","4","3","2","16","0","0","16","53.6","3.4","1.5%"
"Greg Olsen (CAR)","27","38","291","10.8","23","2","4","0","0","0","0","9","53.1","5.9","33.0%"
"Benjamin Watson (NE)","35","46","400","11.4","32","6","2","0","0","0","0","16","52.0","3.3","1.3%"
"Vernon Davis (WAS)","25","36","367","14.7","53","8","2","0","0","0","0","14","50.7","3.6","0.4%"
"Blake Jarwin (DAL)","27","36","307","11.4","39","3","3","0","0","0","0","16","48.7","3.0","0.3%"
"Antonio Gates (FA)","28","45","333","11.9","27","5","2","0","0","0","1","16","47.3","3.0","0.3%"
"Ian Thomas (CAR)","36","49","333","9.3","31","4","2","0","0","0","0","16","45.3","2.8","1.4%"
"Nick Vannett (SEA)","29","43","269","9.3","32","1","3","0","0","0","0","15","44.9","3.0","0.3%"
"Jonnu Smith (TEN)","20","30","258","12.9","61","3","3","0","0","0","0","13","43.8","3.4","0.6%"
"Jordan Thomas (HOU)","20","27","215","10.8","39","2","4","0","0","0","0","16","42.8","2.7","0.4%"
"Tyler Higbee (LAR)","24","33","292","12.2","36","3","2","0","0","0","0","16","41.2","2.6","0.4%"
"Ricky Seals-Jones (ARI)","34","70","343","10.1","40","5","1","0","0","0","0","15","40.3","2.7","0.7%"
"Jeff Heuerman (DEN)","31","48","281","9.1","36","2","2","0","0","0","0","11","40.1","3.6","0.3%"
"Rhett Ellison (NYG)","25","35","272","10.9","29","2","1","0","0","0","0","14","35.2","2.5","0.1%"
"Jack Doyle (IND)","26","33","245","9.4","20","1","2","0","0","0","1","6","34.5","5.8","26.3%"
"Demetrius Harris (CLE)","12","25","164","13.7","35","2","3","0","0","0","0","15","34.4","2.3","0.2%"
"Ed Dickson (SEA)","12","13","143","11.9","42","2","3","1","9","0","0","10","33.2","3.3","0.2%"
"Levine Toilolo (SF)","21","24","263","12.5","39","2","1","0","0","0","0","16","32.3","2.0","0.0%"
"Matt LaCosse (NE)","24","37","250","10.4","44","1","1","0","0","0","0","15","31.0","2.1","1.0%"
"Ryan Griffin (FA)","24","43","305","12.7","47","3","0","0","0","0","0","14","30.5","2.2","0.1%"
"Geoff Swaim (JAC)","26","32","242","9.3","43","3","1","0","0","0","0","9","30.2","3.4","0.3%"
"Darren Fells (HOU)","11","12","117","10.6","49","1","3","0","0","0","0","16","29.7","1.9","0.0%"
"Luke Stocker (ATL)","15","21","165","11.0","31","2","2","1","0","0","0","16","28.5","1.8","0.0%"
"Michael Roberts (FA)","9","20","100","11.1","29","1","3","0","0","0","0","8","28.0","3.5","0.2%"
"Jason Croom (BUF)","22","35","259","11.8","26","5","1","0","0","0","2","15","27.9","1.9","0.1%"
"Will Dissly (SEA)","8","14","156","19.5","66","3","2","0","0","0","0","4","27.6","6.9","1.6%"
"Virgil Green (LAC)","19","27","210","11.1","26","5","1","0","0","0","0","16","27.0","1.7","0.1%"
"Erik Swoope (OAK)","8","10","87","10.9","26","1","3","0","0","0","0","7","26.7","3.8","0.1%"
"Lee Smith (BUF)","10","11","73","7.3","30","1","3","0","0","0","0","16","25.3","1.6","0.0%"
"Mo Alie-Cox (IND)","7","14","133","19.0","34","4","2","0","0","0","0","9","25.3","2.8","0.2%"
"Josh Hill (NO)","16","24","185","11.6","23","4","1","0","0","0","0","16","24.5","1.5","0.1%"
"Tyler Eifert (CIN)","15","19","179","11.9","29","2","1","0","0","0","0","4","23.9","6.0","2.9%"
"Lance Kendricks (FA)","19","26","170","8.9","22","2","1","0","0","0","0","16","23.0","1.4","0.1%"
"Jordan Akins (HOU)","17","25","225","13.2","28","3","0","0","0","0","0","16","22.5","1.4","0.2%"
