"Rank","Team","Points","Games","Avg"
"1","Jacksonville Jaguars","203.0","16","12.7"
"2","Baltimore Ravens","186.0","16","11.6"
"3","Philadelphia Eagles","170.0","16","10.6"
"3","Los Angeles Rams","170.0","16","10.6"
"4","Los Angeles Chargers","160.0","16","10.0"
"5","Detroit Lions","157.0","16","9.8"
"6","New Orleans Saints","151.0","16","9.4"
"7","Seattle Seahawks","142.0","16","8.9"
"8","Chicago Bears","138.0","16","8.6"
"8","Pittsburgh Steelers","138.0","16","8.6"
"9","Carolina Panthers","137.0","16","8.6"
"10","Kansas City Chiefs","124.0","16","7.8"
"11","New England Patriots","123.0","16","7.7"
"12","Minnesota Vikings","120.0","16","7.5"
"13","Dallas Cowboys","114.0","16","7.1"
"14","Washington","112.0","16","7.0"
"15","Tennessee Titans","110.0","16","6.9"
"16","Arizona Cardinals","109.0","16","6.8"
"16","Denver Broncos","109.0","16","6.8"
"17","Buffalo Bills","104.0","16","6.5"
"18","Cincinnati Bengals","100.0","16","6.3"
"19","Atlanta Falcons","99.0","16","6.2"
"20","Tampa Bay Buccaneers","97.0","16","6.1"
"21","Green Bay Packers","94.0","16","5.9"
"22","Indianapolis Colts","92.0","16","5.8"
"23","Miami Dolphins","90.0","16","5.6"
"24","New York Giants","88.0","16","5.5"
"25","Houston Texans","82.0","16","5.1"
"26","San Francisco 49ers","79.0","16","4.9"
"27","Cleveland Browns","75.0","16","4.7"
"28","New York Jets","72.0","16","4.5"
"29","Oakland Raiders","68.0","16","4.3"
""
""
