"Rank","Player","Team","Points","Games","Avg"
"1","Todd Gurley","LAR","319.3","15","21.3"
"2","Le'Veon Bell","NYJ","256.6","15","17.1"
"3","Kareem Hunt","CLE","242.2","16","15.1"
"4","Alvin Kamara","NO","233.4","16","14.6"
"5","Melvin Gordon","LAC","230.1","16","14.4"
"6","Mark Ingram","BAL","220.0","16","13.8"
"7","LeSean McCoy","BUF","204.6","16","12.8"
"8","Leonard Fournette","JAC","194.2","13","14.9"
"9","Ezekiel Elliott","DAL","177.2","10","17.7"
"10","Jordan Howard","PHI","176.5","16","11.0"
"11","Carlos Hyde","KC","175.0","16","10.9"
"12","Dion Lewis","TEN","165.0","16","10.3"
"13","Devonta Freeman","ATL","164.2","14","11.7"
"14","Lamar Miller","HOU","157.5","16","9.8"
"15","Christian McCaffrey","CAR","148.6","16","9.3"
"16","Alex Collins","FA","148.0","15","9.9"
"17","C.J. Anderson","DET","147.1","16","9.2"
"18","Frank Gore","BUF","144.6","16","9.0"
"19","Marshawn Lynch","FA","144.3","15","9.6"
"20","Latavius Murray","NO","142.4","16","8.9"
"21","Duke Johnson","CLE","142.1","16","8.9"
"22","Tevin Coleman","SF","140.9","15","9.4"
"23","DeMarco Murray","FA","132.5","15","8.8"
"24","Jerick McKinnon","SF","127.1","16","7.9"
"25","Derrick Henry","TEN","124.0","16","7.8"
"26","Bilal Powell","NYJ","122.2","15","8.1"
"27","Javorius Allen","NO","120.1","16","7.5"
"28","Orleans Darkwa","FA","118.7","15","7.9"
"29","Jamaal Williams","GB","117.8","15","7.9"
"30","Isaiah Crowell","OAK","115.5","16","7.2"
"31","Chris Thompson","WAS","112.4","10","11.2"
"32","Joe Mixon","CIN","111.3","14","8.0"
"33","Jay Ajayi","FA","111.1","14","7.9"
"34","Kenyan Drake","MIA","110.3","16","6.9"
"35","Jonathan Stewart","FA","109.2","15","7.3"
"36","Giovani Bernard","CIN","108.7","16","6.8"
"37","Theo Riddick","DET","101.0","16","6.3"
"38","Rex Burkhead","NE","99.8","10","10.0"
"39","LeGarrette Blount","FA","99.6","16","6.2"
