"Rank","Player","Team","Position","Points","Games","Avg"
"1","Patrick Mahomes","KC","QB","417.0","16","26.1"
"2","Matt Ryan","ATL","QB","354.0","16","22.1"
"3","Ben Roethlisberger","PIT","QB","341.0","16","21.3"
"4","Deshaun Watson","HOU","QB","331.9","16","20.7"
"5","Andrew Luck","IND","QB","327.1","16","20.4"
"6","Todd Gurley","LAR","RB","313.1","14","22.4"
"7","Aaron Rodgers","GB","QB","312.5","16","19.5"
"8","Jared Goff","LAR","QB","310.3","16","19.4"
"9","Drew Brees","NO","QB","303.8","15","20.3"
"10","Russell Wilson","SEA","QB","298.4","16","18.7"
"11","Saquon Barkley","NYG","RB","294.8","16","18.4"
"12","Dak Prescott","DAL","QB","285.7","16","17.9"
"13","Philip Rivers","LAC","QB","284.9","16","17.8"
"14","Cam Newton","CAR","QB","282.6","14","20.2"
"15","Kirk Cousins","MIN","QB","282.1","16","17.6"
"16","Tom Brady","NE","QB","280.4","16","17.5"
"17","Christian McCaffrey","CAR","RB","278.5","16","17.4"
"18","Alvin Kamara","NO","RB","273.2","15","18.2"
"19","Mitch Trubisky","CHI","QB","262.9","14","18.8"
"20","Ezekiel Elliott","DAL","RB","252.2","15","16.8"
"21","Tyreek Hill","KC","WR","241.0","16","15.1"
"22","Baker Mayfield","CLE","QB","240.0","14","17.1"
"22","Eli Manning","NYG","QB","240.0","16","15.0"
"23","Melvin Gordon","LAC","RB","225.5","12","18.8"
"24","James Conner","PIT","RB","225.0","13","17.3"
"25","Antonio Brown","OAK","WR","219.7","15","14.6"
"26","Davante Adams","GB","WR","218.6","15","14.6"
"27","DeAndre Hopkins","HOU","WR","218.5","16","13.7"
"28","Derek Carr","OAK","QB","215.8","16","13.5"
"29","Case Keenum","WAS","QB","215.0","16","13.4"
"30","Julio Jones","ATL","WR","212.8","16","13.3"
"31","Matthew Stafford","DET","QB","212.1","16","13.3"
"32","Josh Allen","BUF","QB","208.1","12","17.3"
"33","Kareem Hunt","CLE","RB","204.2","11","18.6"
"34","Joe Mixon","CIN","RB","200.4","14","14.3"
"35","Mike Evans","TB","WR","198.4","16","12.4"
"36","David Johnson","ARI","RB","196.7","16","12.3"
"37","Jameis Winston","TB","QB","196.0","11","17.8"
"38","Adam Thielen","MIN","WR","194.3","16","12.1"
"39","Carson Wentz","PHI","QB","192.4","11","17.5"
"40","Travis Kelce","KC","TE","191.6","16","12.0"
"41","Chicago Bears","CHI","DST","191.0","16","11.9"
"42","Michael Thomas","NO","WR","190.5","16","11.9"
"43","James White","NE","RB","189.6","16","11.9"
"44","Phillip Lindsay","DEN","RB","187.8","15","12.5"
"45","Derrick Henry","TEN","RB","186.3","16","11.6"
"46","JuJu Smith-Schuster","PIT","WR","185.9","16","11.6"
"47","Chris Carson","SEA","RB","181.4","14","13.0"
"48","Robert Woods","LAR","WR","179.6","16","11.2"
"49","Marcus Mariota","TEN","QB","175.0","14","12.5"
"50","Andy Dalton","CIN","QB","174.5","11","15.9"
"51","Nick Chubb","CLE","RB","174.5","16","10.9"
"52","Blake Bortles","LAR","QB","173.3","13","13.3"
"53","George Kittle","SF","TE","170.7","16","10.7"
"54","Ka'imi Fairbairn","HOU","K","170.0","16","10.6"
"55","Adrian Peterson","WAS","RB","169.0","16","10.6"
"56","Sam Darnold","NYJ","QB","168.4","13","13.0"
"57","Ryan Fitzpatrick","MIA","QB","165.8","8","20.7"
"58","Tyler Lockett","SEA","WR","165.4","16","10.3"
"59","Zach Ertz","PHI","TE","164.3","16","10.3"
"59","Stefon Diggs","MIN","WR","164.3","15","11.0"
"60","Brandin Cooks","LAR","WR","163.2","15","10.9"
"61","Keenan Allen","LAC","WR","163.1","15","10.9"
"62","T.Y. Hilton","IND","WR","163.0","14","11.6"
"63","Tarik Cohen","CHI","RB","162.9","16","10.2"
"64","Tevin Coleman","SF","RB","161.6","16","10.1"
"65","Marlon Mack","IND","RB","161.1","12","13.4"
"66","Justin Tucker","BAL","K","160.0","16","10.0"
"66","Jordan Howard","PHI","RB","160.0","16","10.0"
"67","Lamar Jackson","BAL","QB","157.8","16","9.9"
"68","Eric Ebron","IND","TE","156.2","16","9.8"
"69","Odell Beckham Jr.","CLE","WR","153.4","12","12.8"
"70","Kenyan Drake","MIA","RB","153.2","16","9.6"
"71","Jason Myers","SEA","K","151.0","16","9.4"
"71","Wil Lutz","NO","K","151.0","16","9.4"
"72","Lamar Miller","HOU","RB","147.6","14","10.5"
"73","Harrison Butker","KC","K","147.0","16","9.2"
"73","Los Angeles Rams","LAR","DST","147.0","16","9.2"
"74","Aaron Jones","GB","RB","145.5","12","12.1"
"75","Tyler Boyd","CIN","WR","145.1","14","10.4"
"76","Mason Crosby","GB","K","145.0","16","9.1"
"77","Houston Texans","HOU","DST","144.0","16","9.0"
"78","Calvin Ridley","ATL","WR","142.8","16","8.9"
"79","Ryan Tannehill","TEN","QB","142.0","11","12.9"
"80","Aldrick Rosas","NYG","K","141.0","16","8.8"
"81","Amari Cooper","DAL","WR","140.4","15","9.4"
"82","Robbie Gould","SF","K","139.0","16","8.7"
"83","Brett Maher","DAL","K","138.0","16","8.6"
"83","Stephen Gostkowski","NE","K","138.0","16","8.6"
"84","Alex Smith","WAS","QB","137.9","10","13.8"
"85","Mike Williams","LAC","WR","137.2","16","8.6"
"86","Kenny Golladay","DET","WR","137.1","15","9.1"
"87","Joe Flacco","DEN","QB","137.0","9","15.2"
"88","Jarvis Landry","CLE","WR","136.1","16","8.5"
"89","Matt Breida","SF","RB","135.5","14","9.7"
"90","New England Patriots","NE","DST","135.0","16","8.4"
"91","Julian Edelman","NE","WR","133.4","12","11.1"
"92","Sony Michel","NE","RB","132.1","13","10.2"
"93","Peyton Barber","TB","RB","130.3","16","8.1"
"94","Austin Ekeler","LAC","RB","129.8","14","9.3"
"95","Matt Prater","DET","K","129.3","16","8.1"
"96","Sebastian Janikowski","FA","K","128.0","16","8.0"
"96","Greg Zuerlein","LAR","K","128.0","11","11.6"
"97","Emmanuel Sanders","DEN","WR","127.2","12","10.6"
"98","Chris Godwin","TB","WR","126.2","16","7.9"
"99","Baltimore Ravens","BAL","DST","126.0","16","7.9"
"99","Adam Vinatieri","IND","K","126.0","15","8.4"
"100","Jared Cook","NO","TE","125.6","16","7.9"
"101","Minnesota Vikings","MIN","DST","124.0","16","7.8"
"102","Nick Mullens","SF","QB","123.5","8","15.4"
"103","Kansas City Chiefs","KC","DST","123.0","16","7.7"
"104","Cody Parkey","FA","K","122.0","16","7.6"
"104","Denver Broncos","DEN","DST","122.0","16","7.6"
"104","Jake Elliott","PHI","K","122.0","16","7.6"
"104","Seattle Seahawks","SEA","DST","122.0","16","7.6"
"105","Mark Ingram","BAL","RB","121.5","12","10.1"
"106","Dustin Hopkins","WAS","K","121.0","16","7.6"
"107","Alshon Jeffery","PHI","WR","120.3","13","9.3"
"108","Washington Redskins","WAS","DST","120.0","16","7.5"
"109","Isaiah Crowell","OAK","RB","119.7","13","9.2"
"110","Corey Davis","TEN","WR","118.6","16","7.4"
"111","T.J. Yeldon","BUF","RB","118.1","14","8.4"
"112","Ryan Succop","TEN","K","117.0","16","7.3"
"113","Larry Fitzgerald","ARI","WR","116.7","16","7.3"
"114","Sterling Shepard","NYG","WR","116.5","16","7.3"
"115","Mohamed Sanu","ATL","WR","116.4","16","7.3"
"116","Indianapolis Colts","IND","DST","116.0","16","7.3"
"117","Josh Rosen","MIA","QB","113.0","14","8.1"
"118","Tennessee Titans","TEN","DST","113.0","16","7.1"
"119","Adam Humphries","TEN","WR","112.7","16","7.0"
"120","Dalvin Cook","MIN","RB","112.0","11","10.2"
"121","DeSean Jackson","PHI","WR","110.3","12","9.2"
"122","Pittsburgh Steelers","PIT","DST","110.0","16","6.9"
"123","Latavius Murray","NO","RB","109.9","16","6.9"
"124","Zay Jones","BUF","WR","109.2","16","6.8"
"125","Golden Tate","NYG","WR","108.9","15","7.3"
"126","Matt Bryant","FA","K","108.0","13","8.3"
"126","New Orleans Saints","NO","DST","108.0","16","6.8"
"127","Dede Westbrook","JAC","WR","107.6","16","6.7"
"128","Kerryon Johnson","DET","RB","107.4","10","10.7"
"129","Buffalo Bills","BUF","DST","107.0","16","6.7"
"129","Jacksonville Jaguars","JAC","DST","107.0","16","6.7"
"129","Los Angeles Chargers","LAC","DST","107.0","16","6.7"
"130","Robby Anderson","NYJ","WR","106.4","14","7.6"
"131","Steven Hauschka","BUF","K","106.0","16","6.6"
"131","Brandon McManus","DEN","K","106.0","16","6.6"
"131","Randy Bullock","CIN","K","106.0","16","6.6"
"132","Miami Dolphins","MIA","DST","104.0","16","6.5"
"133","A.J. Green","CIN","WR","103.4","9","11.5"
"134","Mike Davis","CHI","RB","102.8","15","6.9"
"135","D.J. Moore","CAR","WR","102.0","16","6.4"
"136","Doug Martin","OAK","RB","101.9","16","6.4"
"137","John Brown","BUF","WR","101.9","16","6.4"
"138","Dion Lewis","TEN","RB","101.7","16","6.4"
"139","Nelson Agholor","PHI","WR","101.4","16","6.3"
"140","Arizona Cardinals","ARI","DST","100.0","16","6.3"
"141","Dan Bailey","MIN","K","99.0","14","7.1"
"142","Leonard Fournette","JAC","RB","98.4","8","12.3"
"143","Allen Robinson","CHI","WR","98.3","13","7.6"
"144","Dallas Cowboys","DAL","DST","98.0","16","6.1"
"144","Jason Sanders","MIA","K","98.0","16","6.1"
"144","Cleveland Browns","CLE","DST","98.0","16","6.1"
"144","Detroit Lions","DET","DST","98.0","16","6.1"
"145","Nyheim Hines","IND","RB","97.9","16","6.1"
"146","Curtis Samuel","CAR","WR","97.8","13","7.5"
"147","Demaryius Thomas","NE","WR","97.7","15","6.5"
"148","Josh Gordon","FA","WR","97.7","12","8.1"
"149","Kenny Stills","MIA","WR","97.4","15","6.5"
"150","Philadelphia Eagles","PHI","DST","97.0","16","6.1"
"151","Tyrell Williams","OAK","WR","96.8","15","6.5"
"152","Cooper Kupp","LAR","WR","95.1","8","11.9"
"153","Courtland Sutton","DEN","WR","94.3","16","5.9"
"154","Jordy Nelson","FA","WR","93.7","15","6.2"
"155","Alex Collins","FA","RB","93.6","10","9.4"
"156","LeSean McCoy","BUF","RB","93.2","14","6.7"
"157","Chris Boswell","PIT","K","93.1","15","6.2"
"157","Trey Burton","CHI","TE","93.1","16","5.8"
"158","Austin Hooper","ATL","TE","92.0","16","5.8"
