"Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"Ka'imi Fairbairn (HOU)","37","42","88.1","54","1","9","11","12","4","39","41","16","170.0","10.6","46.7%"
"Justin Tucker (BAL)","35","39","89.7","56","0","12","9","9","5","36","37","16","160.0","10.0","49.2%"
"Jason Myers (SEA)","33","36","91.7","56","0","4","13","10","6","30","33","16","151.0","9.4","7.5%"
"Wil Lutz (NO)","28","30","93.3","54","1","5","9","11","2","52","53","16","151.0","9.4","48.0%"
"Harrison Butker (KC)","24","27","88.9","54","0","9","7","6","2","65","69","16","147.0","9.2","47.9%"
"Mason Crosby (GB)","30","37","81.1","53","0","4","10","11","5","34","36","16","145.0","9.1","17.6%"
"Aldrick Rosas (NYG)","32","33","97.0","57","0","9","13","6","4","31","32","16","141.0","8.8","5.3%"
"Robbie Gould (SF)","33","34","97.1","53","0","9","13","9","2","27","29","16","139.0","8.7","38.2%"
"Stephen Gostkowski (NE)","27","32","84.4","52","0","11","10","4","2","49","50","16","138.0","8.6","48.2%"
"Brett Maher (DAL)","29","36","80.6","62","0","10","6","7","6","32","33","16","138.0","8.6","22.2%"
"Matt Prater (DET)","28","32","87.5","54","0","8","12","5","3","30","30","16","129.3","8.1","17.5%"
"Sebastian Janikowski (FA)","22","27","81.5","56","0","2","9","8","3","48","51","16","128.0","8.0","20.0%"
"Greg Zuerlein (LAR)","27","31","87.1","56","0","9","10","4","4","35","36","11","128.0","11.6","49.2%"
"Adam Vinatieri (IND)","23","27","85.2","54","0","8","6","5","4","44","47","16","126.0","7.9","36.5%"
"Cody Parkey (FA)","23","30","76.7","50","0","6","7","9","1","42","45","16","122.0","7.6","0.4%"
"Jake Elliott (PHI)","26","31","83.9","56","0","7","10","7","2","33","35","16","122.0","7.6","17.7%"
"Dustin Hopkins (WAS)","26","29","89.7","56","0","5","7","10","4","25","26","16","121.0","7.6","0.9%"
"Ryan Succop (TEN)","26","30","86.7","54","0","5","13","5","3","28","31","16","117.0","7.3","2.6%"
"Matt Bryant (FA)","20","21","95.2","57","0","4","5","7","4","33","35","13","108.0","8.3","0.5%"
"Steven Hauschka (BUF)","22","28","78.6","54","0","3","8","7","4","25","26","16","106.0","6.6","0.5%"
"Randy Bullock (CIN)","19","23","82.6","51","0","4","7","6","2","39","41","16","106.0","6.6","0.1%"
"Brandon McManus (DEN)","20","25","80.0","53","0","5","6","7","2","35","35","16","106.0","6.6","0.8%"
"Dan Bailey (MIN)","21","28","75.0","52","0","5","11","4","1","30","31","14","99.0","7.1","1.7%"
"Jason Sanders (MIA)","18","20","90.0","50","0","7","3","7","1","35","36","16","98.0","6.1","0.2%"
"Chris Boswell (PIT)","13","20","65.0","50","0","3","4","5","1","43","48","15","93.1","6.2","1.6%"
"Daniel Carlson (OAK)","17","21","81.0","50","0","2","3","9","3","24","24","12","90.0","7.5","0.7%"
"Josh Lambo (JAC)","19","21","90.5","57","0","4","8","3","4","19","20","13","87.0","6.7","0.4%"
"Chandler Catanzaro (NYJ)","16","20","80.0","59","0","4","9","0","3","30","35","13","84.0","6.5","0.2%"
"Greg Joseph (CLE)","17","20","85.0","51","0","4","7","5","1","25","29","14","83.0","5.9","0.2%"
"Graham Gano (CAR)","14","16","87.5","63","0","3","4","4","3","30","33","12","82.0","6.8","1.9%"
"Michael Badgley (LAC)","15","16","93.8","59","0","4","5","5","1","27","28","10","79.0","7.9","32.3%"
"Cairo Santos (TB)","14","18","77.8","45","1","4","6","3","0","22","23","9","67.0","7.4","0.1%"
"Zane Gonzalez (ARI)","9","14","64.3","55","0","1","4","2","2","8","11","7","41.0","5.9","0.1%"
"Caleb Sturgis (FA)","9","13","69.2","49","0","4","2","3","0","9","15","6","39.0","6.5","0.1%"
"Matt McCrane (FA)","8","12","66.7","47","0","3","2","3","0","9","9","5","36.0","7.2","0.1%"
"Phil Dawson (FA)","5","8","62.5","43","0","2","2","1","0","15","15","10","31.0","3.1","0.1%"
"Giorgio Tavecchio (ATL)","5","5","100.0","56","0","1","0","2","2","8","8","3","29.0","9.7","2.2%"
"Mike Nugent (FA)","6","6","100.0","52","0","3","0","2","1","4","5","3","26.0","8.7","0.1%"
"Kai Forbath (FA)","4","5","80.0","41","0","2","1","1","0","3","3","3","16.0","5.3","0.1%"
"Sam Ficken (GB)","1","3","33.3","34","0","0","1","0","0","10","10","2","13.0","6.5","0.1%"
"Andrew Jacas (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Andrew Wellock (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Carlos Martinez (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Garrett Rivas (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jason Elam (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jason Reda (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jeff Chandler (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jose Cortez (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"MacKenzie Hoambrecker (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Mark Hickok (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Mark Myers (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Martin Gramatica (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Ola Kimrin (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Parker Douglass (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Paul Edinger (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Piotr Czech (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Shane Andrus (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Steven Weatherford (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Tim Duncan (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Todd Peterson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Zac Derr (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Ricky Schmit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Garrett Lindholm (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Aaron Pettrey (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Connor Hughes (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Clint Stitser (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Saverio Rocca (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Michael Palardy (CAR)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","33.3%"
"Ty Long (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Taylor Bertolet (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jonathan Brown (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Rigoberto Sanchez (IND)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"Eddy Pineiro (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"Ryan Santoso (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Matt Gay (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"Tristan Vizcaino (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Elliott Fry (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Austin Seibert (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"Matthew Wright (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Cole Hedlund (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
