"Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"Tyreek Hill (KC)","87","137","1,479","17.0","75","27","12","22","151","1","0","16","241.0","15.1","49.3%"
"Antonio Brown (OAK)","104","169","1,297","12.5","78","17","15","0","0","0","0","15","219.7","14.6","49.7%"
"Davante Adams (GB)","111","169","1,386","12.5","57","18","13","0","0","0","0","15","218.6","14.6","49.7%"
"DeAndre Hopkins (HOU)","115","163","1,572","13.7","49","23","11","1","-7","0","2","16","218.5","13.7","49.7%"
"Julio Jones (ATL)","113","170","1,677","14.8","58","24","8","2","12","0","2","16","212.8","13.3","49.7%"
"Mike Evans (TB)","86","139","1,524","17.7","72","26","8","0","0","0","1","16","198.4","12.4","49.5%"
"Adam Thielen (MIN)","113","153","1,373","12.2","68","17","9","5","30","0","1","16","194.3","12.1","49.6%"
"Michael Thomas (NO)","125","147","1,405","11.2","72","17","9","0","0","0","2","16","190.5","11.9","49.7%"
"JuJu Smith-Schuster (PIT)","111","166","1,426","12.8","97","18","7","1","13","0","1","16","185.9","11.6","49.7%"
"Robert Woods (LAR)","86","131","1,219","14.2","39","20","6","19","157","1","0","16","179.6","11.2","49.0%"
"Tyler Lockett (SEA)","57","71","965","16.9","52","17","10","13","69","0","0","16","165.4","10.3","47.4%"
"Stefon Diggs (MIN)","102","148","1,021","10.0","75","13","9","10","62","0","0","15","164.3","11.0","49.5%"
"Brandin Cooks (LAR)","80","116","1,204","15.1","57","22","5","10","68","1","0","16","163.2","10.2","49.3%"
"Keenan Allen (LAC)","97","137","1,196","12.3","54","13","6","9","75","0","1","16","163.1","10.2","49.6%"
"T.Y. Hilton (IND)","76","120","1,270","16.7","68","22","6","0","0","0","0","14","163.0","11.6","49.5%"
"Odell Beckham Jr. (CLE)","77","124","1,052","13.7","51","17","6","5","19","0","1","12","153.4","12.8","49.7%"
"Tyler Boyd (CIN)","76","108","1,028","13.5","49","21","7","2","3","0","0","14","145.1","10.4","46.8%"
"Calvin Ridley (ATL)","64","92","821","12.8","75","11","10","6","27","0","1","16","142.8","8.9","47.1%"
"Amari Cooper (DAL)","75","107","1,004","13.4","90","10","7","2","20","0","2","15","140.4","9.4","49.6%"
"Mike Williams (LAC)","43","66","664","15.4","55","11","10","7","28","1","0","16","137.2","8.6","46.5%"
"Kenny Golladay (DET)","70","118","1,063","15.2","60","19","5","1","8","0","0","15","137.1","9.1","47.9%"
"Jarvis Landry (CLE)","81","149","976","12.0","51","13","4","3","60","1","1","16","136.1","8.5","48.1%"
"Julian Edelman (NE)","74","108","850","11.5","36","12","6","9","107","0","0","12","133.4","11.1","49.4%"
"Emmanuel Sanders (DEN)","71","98","868","12.2","64","13","4","4","53","1","0","12","127.2","10.6","36.1%"
"Chris Godwin (TB)","59","95","842","14.3","48","10","7","0","0","0","1","16","126.2","7.9","46.8%"
"Alshon Jeffery (PHI)","65","92","843","13.0","52","9","6","0","0","0","0","13","120.3","9.3","48.2%"
"Corey Davis (TEN)","65","112","891","13.7","51","15","4","6","55","0","0","16","118.6","7.4","43.3%"
"Larry Fitzgerald (ARI)","69","112","734","10.6","37","8","6","0","0","0","0","16","116.7","7.3","43.9%"
"Sterling Shepard (NYG)","66","107","872","13.2","58","12","4","3","33","0","0","16","116.5","7.3","44.3%"
"Mohamed Sanu (ATL)","66","94","838","12.7","44","7","4","7","44","0","1","16","116.4","7.3","15.0%"
"Adam Humphries (TEN)","76","105","816","10.7","51","7","5","2","11","0","0","16","112.7","7.0","19.9%"
"DeSean Jackson (PHI)","41","74","774","18.9","75","13","4","6","29","1","0","12","110.3","9.2","38.7%"
"Zay Jones (BUF)","56","102","652","11.6","57","7","7","1","0","0","0","16","109.2","6.8","5.3%"
"Golden Tate (NYG)","74","113","795","10.7","67","9","4","4","34","0","0","15","108.9","7.3","42.0%"
"Dede Westbrook (JAC)","66","101","717","10.9","61","15","5","9","98","0","2","16","107.6","6.7","43.8%"
"Robby Anderson (NYJ)","50","93","752","15.0","76","10","6","2","-8","0","2","14","106.4","7.6","45.4%"
"A.J. Green (CIN)","46","77","694","15.1","38","12","6","0","0","0","1","9","103.4","11.5","49.3%"
"D.J. Moore (CAR)","55","82","788","14.3","82","9","2","13","172","0","3","16","102.0","6.4","46.8%"
"John Brown (BUF)","42","97","715","17.0","71","11","5","3","4","0","0","16","101.9","6.4","4.8%"
"Nelson Agholor (PHI)","64","97","736","11.5","83","10","4","3","32","0","0","16","101.4","6.3","5.5%"
"Allen Robinson (CHI)","55","94","754","13.7","43","11","4","1","9","0","1","13","98.3","7.6","46.9%"
"Curtis Samuel (CAR)","39","65","494","12.7","53","6","5","8","84","2","1","13","97.8","7.5","26.9%"
"Demaryius Thomas (NE)","59","89","677","11.5","45","9","5","0","0","0","0","15","97.7","6.5","10.0%"
"Josh Gordon (FA)","41","71","737","18.0","55","12","4","0","0","0","0","12","97.7","8.1","4.3%"
"Kenny Stills (MIA)","37","64","553","14.9","75","7","6","0","0","0","0","15","97.4","6.5","14.7%"
"Tyrell Williams (OAK)","41","64","653","15.9","75","11","5","2","15","0","0","16","96.8","6.1","23.4%"
"Cooper Kupp (LAR)","40","55","566","14.2","70","9","6","4","25","0","0","8","95.1","11.9","48.6%"
"Courtland Sutton (DEN)","42","84","704","16.8","42","16","4","1","-1","0","0","16","94.3","5.9","37.3%"
"Jordy Nelson (FA)","63","88","739","11.7","66","7","3","1","-2","0","0","15","93.7","6.2","0.9%"
"Doug Baldwin (FA)","50","73","618","12.4","42","9","5","0","0","0","0","13","91.8","7.1","8.2%"
"Antonio Callaway (CLE)","43","79","586","13.6","71","8","5","2","7","0","1","16","89.3","5.6","2.5%"
"Anthony Miller (CHI)","33","54","423","12.8","55","6","7","6","26","0","0","15","87.2","5.8","7.2%"
"Cole Beasley (BUF)","65","86","672","10.3","32","3","3","0","0","0","0","16","85.2","5.3","2.2%"
"Taylor Gabriel (CHI)","67","93","688","10.3","54","7","2","9","61","0","1","16","84.9","5.3","1.9%"
"Donte Moncrief (PIT)","48","90","668","13.9","80","7","3","0","0","0","1","16","82.8","5.2","23.7%"
"Marvin Jones (DET)","35","62","508","14.5","39","5","5","0","0","0","0","9","80.8","9.0","44.8%"
"Christian Kirk (ARI)","43","68","590","13.7","75","8","3","3","35","0","0","12","80.5","6.7","38.4%"
"Rashard Higgins (CLE)","39","53","572","14.7","40","11","4","0","0","0","1","13","79.2","6.1","0.6%"
"Devin Funchess (IND)","44","79","549","12.5","27","8","4","0","0","0","0","14","78.9","5.6","16.2%"
"Michael Crabtree (FA)","54","100","607","11.2","27","6","3","0","0","0","0","16","78.7","4.9","5.1%"
"Dante Pettis (SF)","27","45","467","17.3","75","9","5","1","-2","0","0","12","76.5","6.4","41.9%"
"Sammy Watkins (KC)","40","55","519","13.0","50","7","3","5","52","0","0","10","75.1","7.5","47.6%"
"David Moore (SEA)","26","52","445","17.1","54","8","5","1","5","0","0","16","75.0","4.7","1.6%"
"Will Fuller (HOU)","32","45","503","15.7","73","7","4","0","0","0","0","7","74.3","10.6","44.5%"
"Marquez Valdes-Scantling (GB)","38","72","581","15.3","60","8","2","2","29","0","0","16","73.0","4.6","10.4%"
"Kendrick Bourne (SF)","42","66","487","11.6","33","6","4","0","0","0","0","16","72.7","4.5","0.2%"
"Tre'Quan Smith (NO)","28","44","427","15.3","62","6","5","0","0","0","0","15","72.7","4.8","3.5%"
"Willie Snead (BAL)","62","95","651","10.5","28","5","1","1","13","0","0","16","72.4","4.5","2.7%"
"Robert Foster (BUF)","27","45","541","20.0","75","9","3","0","0","0","0","13","72.1","5.5","5.2%"
"Chris Hogan (CAR)","35","53","532","15.2","63","11","3","0","0","0","0","16","71.2","4.5","1.1%"
"Josh Reynolds (LAR)","29","53","402","13.9","33","6","5","2","8","0","0","16","71.0","4.4","1.4%"
"Albert Wilson (MIA)","26","35","391","15.0","75","7","4","8","16","0","0","7","70.8","10.1","5.4%"
"Cordarrelle Patterson (CHI)","21","28","247","11.8","55","4","3","42","228","1","1","15","69.5","4.6","0.7%"
"Danny Amendola (DET)","59","79","575","9.7","39","4","1","1","-2","0","0","15","68.4","4.6","1.7%"
