"Rank","Player","Team","Position","Points","Games","Avg"
"1","Russell Wilson","SEA","QB","347.8","16","21.7"
"2","Todd Gurley","LAR","RB","319.3","15","21.3"
"3","Cam Newton","CAR","QB","299.5","16","18.7"
"4","Tom Brady","NE","QB","295.9","16","18.5"
"5","Alex Smith","WAS","QB","295.1","15","19.7"
"6","Carson Wentz","PHI","QB","283.7","13","21.8"
"7","Kirk Cousins","MIN","QB","277.6","16","17.4"
"8","Matthew Stafford","DET","QB","273.8","16","17.1"
"9","Philip Rivers","LAC","QB","270.5","16","16.9"
"10","Drew Brees","NO","QB","262.6","16","16.4"
"11","Dak Prescott","DAL","QB","260.8","16","16.3"
"12","Ben Roethlisberger","PIT","QB","260.6","15","17.4"
"13","Le'Veon Bell","NYJ","RB","256.6","15","17.1"
"14","Jared Goff","LAR","QB","255.5","15","17.0"
"15","Blake Bortles","LAR","QB","249.7","16","15.6"
"16","Kareem Hunt","CLE","RB","242.2","16","15.1"
"17","Case Keenum","WAS","QB","238.1","15","15.9"
"18","Alvin Kamara","NO","RB","233.4","16","14.6"
"19","Melvin Gordon","LAC","RB","230.1","16","14.4"
"20","Matt Ryan","ATL","QB","228.1","16","14.3"
"21","Tyrod Taylor","LAC","QB","222.6","15","14.8"
"22","Mark Ingram","BAL","RB","220.0","16","13.8"
"23","DeAndre Hopkins","HOU","WR","213.8","15","14.3"
"24","Andy Dalton","CIN","QB","210.7","16","13.2"
"25","Marcus Mariota","TEN","QB","210.4","15","14.0"
"26","Antonio Brown","OAK","WR","209.3","14","15.0"
"27","Derek Carr","OAK","QB","206.3","15","13.8"
"28","Jacoby Brissett","IND","QB","206.0","16","12.9"
"29","Josh McCown","FA","QB","205.6","13","15.8"
"30","LeSean McCoy","BUF","RB","204.6","16","12.8"
"31","Jacksonville Jaguars","JAC","DST","203.0","16","12.7"
"32","Jameis Winston","TB","QB","201.8","13","15.5"
"33","Leonard Fournette","JAC","RB","194.2","13","14.9"
"34","Eli Manning","NYG","QB","187.3","15","12.5"
"35","Baltimore Ravens","BAL","DST","186.0","16","11.6"
"36","Joe Flacco","DEN","QB","184.9","16","11.6"
"37","Keenan Allen","LAC","WR","182.2","16","11.4"
"38","Greg Zuerlein","LAR","K","182.0","14","13.0"
"39","Ezekiel Elliott","DAL","RB","177.2","10","17.7"
"40","Jordan Howard","PHI","RB","176.5","16","11.0"
"41","DeShone Kizer","GB","QB","175.9","15","11.7"
"42","Carlos Hyde","KC","RB","175.0","16","10.9"
"43","Stephen Gostkowski","NE","K","172.0","16","10.8"
"44","Robbie Gould","SF","K","170.0","16","10.6"
"44","Los Angeles Rams","LAR","DST","170.0","16","10.6"
"44","Philadelphia Eagles","PHI","DST","170.0","16","10.6"
"45","Deshaun Watson","HOU","QB","168.8","7","24.1"
"46","Dion Lewis","TEN","RB","165.0","16","10.3"
"47","Tyreek Hill","KC","WR","164.2","15","10.9"
"48","Devonta Freeman","ATL","RB","164.2","14","11.7"
"49","Marvin Jones","DET","WR","164.1","16","10.3"
"50","Julio Jones","ATL","WR","163.9","16","10.2"
"51","Justin Tucker","BAL","K","162.0","16","10.1"
"51","Matt Bryant","FA","K","162.0","16","10.1"
"52","Wil Lutz","NO","K","161.0","16","10.1"
"53","Los Angeles Chargers","LAC","DST","160.0","16","10.0"
"53","Harrison Butker","KC","K","160.0","13","12.3"
"54","Chris Boswell","PIT","K","159.0","16","9.9"
"55","Rob Gronkowski","FA","TE","158.3","13","12.2"
"56","Jay Cutler","FA","QB","157.7","14","11.3"
"57","Lamar Miller","HOU","RB","157.5","16","9.8"
"58","Detroit Lions","DET","DST","157.0","16","9.8"
"59","Brandin Cooks","LAR","WR","156.2","16","9.8"
"60","Ryan Succop","TEN","K","156.0","16","9.8"
"61","Michael Thomas","NO","WR","154.5","16","9.7"
"62","Larry Fitzgerald","ARI","WR","152.4","16","9.5"
