"Rank","Player","Team","Points","Games","Avg"
"1","Greg Zuerlein","LAR","182.0","14","13.0"
"2","Stephen Gostkowski","NE","172.0","16","10.8"
"3","Robbie Gould","SF","170.0","16","10.6"
"4","Justin Tucker","BAL","162.0","16","10.1"
"4","Matt Bryant","FA","162.0","16","10.1"
"5","Wil Lutz","NO","161.0","16","10.1"
"6","Harrison Butker","KC","160.0","13","12.3"
"7","Chris Boswell","PIT","159.0","16","9.9"
"8","Ryan Succop","TEN","156.0","16","9.8"
"9","Matt Prater","DET","151.0","16","9.4"
"10","Kai Forbath","FA","148.0","16","9.3"
"11","Jake Elliott","PHI","139.0","14","9.9"
"12","Phil Dawson","FA","137.0","16","8.6"
"12","Steven Hauschka","BUF","137.0","16","8.6"
"13","Graham Gano","CAR","131.0","16","8.2"
"14","Adam Vinatieri","IND","125.0","15","8.3"
"15","Chandler Catanzaro","NYJ","120.0","15","8.0"
"16","Brandon McManus","DEN","109.0","15","7.3"
"17","Blair Walsh","FA","108.0","16","6.8"
"18","Ka'imi Fairbairn","HOU","104.0","15","6.9"
"19","Cody Parkey","FA","97.0","15","6.5"
"20","Randy Bullock","CIN","91.0","14","6.5"
"21","Giorgio Tavecchio","ATL","90.0","15","6.0"
"22","Josh Lambo","JAC","87.0","10","8.7"
"23","Patrick Murray","FA","86.0","12","7.2"
"24","Mason Crosby","GB","84.0","15","5.6"
"24","Aldrick Rosas","NYG","84.0","16","5.3"
"25","Dan Bailey","MIN","81.0","11","7.4"
"26","Zane Gonzalez","ARI","78.0","16","4.9"
"27","Dustin Hopkins","WAS","64.0","8","8.0"
"28","Nick Rose","FA","59.0","10","5.9"
"29","Connor Barth","FA","57.0","10","5.7"
"30","Mike Nugent","FA","54.0","8","6.8"
"31","Jason Myers","SEA","53.0","6","8.8"
"32","Nick Novak","FA","46.0","7","6.6"
"33","Nick Folk","FA","29.0","4","7.3"
"34","Travis Coons","FA","27.0","3","9.0"
"35","Cairo Santos","TB","26.0","5","5.2"
"36","Younghoe Koo","FA","19.0","4","4.8"
"37","Caleb Sturgis","FA","13.0","1","13.0"
"38","Sam Ficken","GB","10.0","2","5.0"
"39","Marshall Koehn","FA","1.0","1","1.0"
"40","","","0.0","1","0.0"
"40","Rigoberto Sanchez","IND","0.0","2","0.0"
""
""
