"Rank","Player","Team","Points","Games","Avg"
"1","Rob Gronkowski","FA","158.3","13","12.2"
"2","Travis Kelce","KC","150.5","15","10.0"
"3","Zach Ertz","PHI","128.4","14","9.2"
"4","Jimmy Graham","GB","114.0","16","7.1"
"5","Evan Engram","NYG","109.6","15","7.3"
"6","Kyle Rudolph","MIN","101.2","16","6.3"
"7","Delanie Walker","TEN","100.5","16","6.3"
"8","Cameron Brate","TB","95.1","16","5.9"
"9","Jack Doyle","IND","89.0","15","5.9"
"10","Jason Witten","DAL","84.0","16","5.3"
"11","Tyler Kroft","BUF","82.4","15","5.5"
"12","Hunter Henry","LAC","81.9","12","6.8"
"13","Eric Ebron","IND","79.4","16","5.0"
"14","Vernon Davis","WAS","78.8","16","4.9"
"15","Jared Cook","NO","78.7","16","4.9"
"16","Benjamin Watson","NE","76.2","16","4.8"
"17","O.J. Howard","TB","75.2","13","5.8"
"18","Austin Hooper","ATL","70.6","16","4.4"
"19","Charles Clay","ARI","67.8","13","5.2"
"20","Marcedes Lewis","GB","63.8","16","4.0"
"21","George Kittle","SF","63.5","15","4.2"
"22","David Njoku","CLE","62.7","16","3.9"
"23","Garrett Celek","SF","57.6","13","4.4"
"24","Julius Thomas","FA","56.8","14","4.1"
"25","Trey Burton","CHI","56.8","14","4.1"
"26","Jesse James","DET","55.2","14","3.9"
"27","Austin Seferian-Jenkins","FA","51.7","13","4.0"
"28","Ed Dickson","SEA","49.7","14","3.6"
"29","Antonio Gates","FA","49.6","16","3.1"
"30","Jermaine Gresham","FA","44.2","14","3.2"
"31","Seth DeValve","CLE","43.5","16","2.7"
"32","Nick O'Leary","MIA","42.2","13","3.2"
"33","Coby Fleener","FA","41.5","11","3.8"
"34","Stephen Anderson","NE","40.2","14","2.9"
"35","Luke Willson","OAK","39.3","13","3.0"
"36","Darren Fells","HOU","35.7","14","2.6"
"36","Gerald Everett","LAR","35.7","14","2.6"
"37","Zach Miller","FA","35.6","8","4.5"
"38","Tyler Higbee","LAR","35.5","14","2.5"
"39","Rhett Ellison","NYG","35.5","14","2.5"
"40","A.J. Derby","FA","34.4","11","3.1"
"41","Jordan Reed","WAS","33.1","6","5.5"
"42","Adam Shaheen","CHI","30.7","7","4.4"
"43","Martellus Bennett","FA","28.6","9","3.2"
"44","Demetrius Harris","CLE","28.4","13","2.2"
"45","Jonnu Smith","TEN","27.7","14","2.0"
"46","Lance Kendricks","FA","26.3","13","2.0"
"47","Jeff Heuerman","DEN","26.2","10","2.6"
"48","Virgil Green","LAC","25.1","11","2.3"
"49","Greg Olsen","CAR","25.1","7","3.6"
"50","Vance McDonald","PIT","24.8","10","2.5"
"51","Levine Toilolo","SF","24.2","10","2.4"
"52","Dion Sims","FA","24.0","12","2.0"
"53","Ryan Griffin","FA","23.8","6","4.0"
"54","Nick Boyle","BAL","22.3","15","1.5"
"55","Richard Rodgers","PHI","22.0","9","2.4"
"56","James O'Shaughnessy","JAC","20.9","15","1.4"
"57","Ricky Seals-Jones","ARI","20.7","6","3.5"
"58","Troy Niklas","FA","19.2","11","1.7"
"59","Brent Celek","FA","19.0","12","1.6"
"60","Nick Vannett","SEA","18.4","10","1.8"
"61","Eric Tomlinson","NYJ","18.1","9","2.0"
"62","Anthony Fasano","FA","16.7","9","1.9"
"63","David Morgan","MIN","15.5","9","1.7"
"64","C.J. Uzomah","CIN","15.2","11","1.4"
"65","James Hanna","FA","14.8","8","1.9"
"66","Dwayne Allen","MIA","14.6","12","1.2"
"67","Josh Hill","NO","13.7","10","1.4"
"68","Maxx Williams","ARI","13.2","9","1.5"
"69","Daniel Brown","NYJ","12.9","9","1.4"
"70","Logan Thomas","DET","12.7","5","2.5"
"70","C.J. Fiedorowicz","FA","12.7","5","2.5"
"71","Brandon Williams","FA","12.1","9","1.3"
"72","Michael Hoomanawanui","FA","11.2","7","1.6"
"73","Austin Traylor","FA","10.0","5","2.0"
"74","Phillip Supernaw","FA","9.9","9","1.1"
"75","Niles Paul","FA","9.8","11","0.9"
"76","Xavier Grimble","PIT","9.2","8","1.2"
"76","Jerell Adams","HOU","9.2","7","1.3"
"77","Luke Stocker","ATL","9.0","4","2.3"
"78","Clive Walford","MIA","8.0","6","1.3"
"79","Ross Travis","IND","7.6","10","0.8"
"79","Lee Smith","BUF","7.6","8","1.0"
"80","Neal Sterling","KC","7.4","3","2.5"
"81","Jeremy Sprinkle","WAS","7.3","3","2.4"
"82","Derek Carrier","OAK","7.1","9","0.8"
"83","Ben Koyack","JAC","5.8","6","1.0"
"84","Orson Charles","CLE","5.3","3","1.8"
"85","Jacob Hollister","SEA","4.7","13","0.4"
"86","Alan Cross","FA","4.7","3","1.6"
"87","Tyler Eifert","CIN","4.6","2","2.3"
"88","Michael Roberts","FA","4.6","6","0.8"
"88","Sean McGrath","FA","4.6","4","1.2"
"88","Ifeanyi Momah","FA","4.6","4","1.2"
"89","Blake Bell","KC","3.9","3","1.3"
"90","Will Tye","PHI","3.8","2","1.9"
"91","Randall Telfer","FA","3.6","3","1.2"
"92","Emanuel Byrd","FA","3.1","1","3.1"
"93","Darrell Daniels","ARI","2.6","7","0.4"
"94","Geoff Swaim","JAC","2.5","2","1.3"
"94","Antony Auclair","TB","2.5","3","0.8"
"95","MarQueis Gray","FA","2.4","7","0.3"
"96","Chris Manhertz","CAR","1.7","3","0.6"
"97","Ryan Hewitt","TEN","1.6","3","0.5"
"98","Cole Hikutini","MIN","1.5","2","0.8"
"99","Garrett Griffin","NO","0.4","2","0.2"
"100","Ryan Malleck","FA","0.3","1","0.3"
"101","Jeff Cumberland","FA","0.2","3","0.1"
"102","Ben Braunecker","CHI","0.0","4","0.0"
"102","Clark Harris","CIN","0.0","2","0.0"
"102","Logan Paulsen","ATL","0.0","2","0.0"
"102","Eric Saubert","ATL","0.0","1","0.0"
"102","Jason Vander Laan","CAR","0.0","2","0.0"
"102","Kyle Nelson","SF","0.0","1","0.0"
"102","Cethan Carter","CIN","0.0","6","0.0"
"102","Matt LaCosse","NE","0.0","1","0.0"
"102","Gabe Holmes","IND","0.0","1","0.0"
"102","John Phillips","FA","0.0","1","0.0"
"102","Henry Krieger Coble","FA","0.0","1","0.0"
""
""
