"Rank","Player","Team","Points","Games","Avg"
"1","DeAndre Hopkins","HOU","213.8","15","14.3"
"2","Antonio Brown","OAK","209.3","14","15.0"
"3","Keenan Allen","LAC","182.2","16","11.4"
"4","Tyreek Hill","KC","164.2","15","10.9"
"5","Marvin Jones","DET","164.1","16","10.3"
"6","Julio Jones","ATL","163.9","16","10.2"
"7","Brandin Cooks","LAR","156.2","16","9.8"
"8","Michael Thomas","NO","154.5","16","9.7"
"9","Larry Fitzgerald","ARI","152.4","16","9.5"
"10","A.J. Green","CIN","151.8","16","9.5"
"11","Doug Baldwin","FA","150.3","16","9.4"
"12","Adam Thielen","MIN","148.8","16","9.3"
"13","Davante Adams","GB","148.5","14","10.6"
"14","Jarvis Landry","CLE","148.0","16","9.3"
"15","Alshon Jeffery","PHI","138.9","16","8.7"
"16","Robby Anderson","NYJ","137.0","16","8.6"
"17","Stefon Diggs","MIN","134.2","14","9.6"
"18","JuJu Smith-Schuster","PIT","133.7","14","9.6"
"19","Golden Tate","NYG","132.5","16","8.3"
"20","Mike Evans","TB","132.1","15","8.8"
"21","Devin Funchess","IND","132.0","16","8.3"
"22","Nelson Agholor","PHI","131.5","16","8.2"
"23","Demaryius Thomas","NE","122.9","16","7.7"
"24","T.Y. Hilton","IND","118.6","16","7.4"
"25","Dez Bryant","FA","117.5","16","7.3"
"26","Kenny Stills","MIA","116.7","16","7.3"
"27","Cooper Kupp","LAR","114.9","15","7.7"
"28","Michael Crabtree","FA","113.8","13","8.8"
"29","Marquise Goodwin","SF","112.6","16","7.0"
"30","Jermaine Kearse","DET","111.0","16","6.9"
"31","Amari Cooper","DAL","110.4","14","7.9"
"32","Sammy Watkins","KC","107.3","15","7.2"
"33","Robert Woods","LAR","107.3","12","8.9"
"34","Mohamed Sanu","ATL","107.3","15","7.2"
"35","Ted Ginn","NO","106.6","15","7.1"
"36","Paul Richardson","WAS","106.3","16","6.6"
"37","Rishard Matthews","NO","103.2","14","7.4"
"38","Mike Wallace","FA","99.2","15","6.6"
"39","Tyrell Williams","OAK","94.8","16","5.9"
"40","Jamison Crowder","NYJ","94.3","15","6.3"
"41","Randall Cobb","DAL","93.4","14","6.7"
"42","Marqise Lee","JAC","91.9","13","7.1"
"43","Keelan Cole","JAC","90.8","16","5.7"
"44","Travis Benjamin","LAC","90.3","16","5.6"
"45","DeSean Jackson","PHI","88.6","14","6.3"
"46","Kelvin Benjamin","FA","87.2","14","6.2"
"47","Sterling Shepard","NYG","85.5","11","7.8"
"48","Will Fuller","HOU","85.2","10","8.5"
"49","Josh Doctson","WAS","84.8","15","5.7"
"50","Jordy Nelson","FA","84.2","14","6.0"
"51","Martavis Bryant","FA","82.5","15","5.5"
"52","Ryan Grant","OAK","81.3","16","5.1"
"53","Danny Amendola","DET","77.9","15","5.2"
"54","Chris Hogan","CAR","75.6","9","8.4"
"55","Albert Wilson","MIA","74.0","13","5.7"
"56","Tyler Lockett","SEA","73.3","16","4.6"
"57","Devante Parker","MIA","73.0","13","5.6"
"58","Brandon LaFell","FA","72.8","16","4.6"
"59","Jaron Brown","SEA","71.7","16","4.5"
"60","Adam Humphries","TEN","67.7","16","4.2"
"61","Emmanuel Sanders","DEN","67.5","12","5.6"
"62","Kendall Wright","FA","67.4","14","4.8"
"63","Deonte Thompson","NYJ","67.0","16","4.2"
"64","Kenny Golladay","DET","66.6","11","6.1"
"65","J.J. Nelson","OAK","64.1","16","4.0"
"66","Eric Decker","FA","62.3","16","3.9"
"67","Jeremy Maclin","FA","62.0","12","5.2"
"68","Allen Hurns","DAL","60.4","10","6.0"
"69","Chris Godwin","TB","58.5","15","3.9"
"70","Terrance Williams","FA","58.3","16","3.6"
"71","Cole Beasley","BUF","55.4","15","3.7"
"72","Cordarrelle Patterson","CHI","55.0","16","3.4"
"73","Torrey Smith","CAR","54.7","16","3.4"
"74","Roger Lewis","FA","53.6","15","3.6"
"75","Trent Taylor","SF","53.0","15","3.5"
"75","Bennie Fowler","NYG","53.0","15","3.5"
"76","Donte Moncrief","PIT","51.1","12","4.3"
"77","Brandon Coleman","FA","50.8","15","3.4"
"78","Pierre Garcon","FA","50.0","8","6.3"
"79","Brice Butler","MIA","49.7","12","4.1"
"80","Odell Beckham Jr.","CLE","49.0","4","12.3"
"81","John Brown","BUF","48.9","10","4.9"
"82","Taylor Gabriel","CHI","48.7","16","3.0"
"83","Chris Moore","BAL","47.9","12","4.0"
"83","TJ Jones","FA","47.9","13","3.7"
"84","Seth Roberts","BAL","47.5","15","3.2"
"85","Bruce Ellington","FA","46.7","11","4.2"
"86","Josh Bellamy","NYJ","44.2","11","4.0"
"87","Zay Jones","BUF","43.6","14","3.1"
"88","Cody Latimer","NYG","42.7","11","3.9"
"89","Corey Coleman","NYG","42.5","9","4.7"
"90","Tavarres King","FA","42.3","8","5.3"
"91","Rashard Higgins","CLE","41.6","14","3.0"
"92","Dontrelle Inman","NE","40.3","10","4.0"
"93","Justin Hardy","ATL","40.1","10","4.0"
